O,D,DIFF
242,257,-110
242,261,-192
243,257,-149
243,259,-227
243,260,-210
243,261,-943
243,263,-208
243,265,-159
245,257,-166
245,259,-175
245,260,-157
245,261,-349
245,263,-175
245,265,-117
246,257,-105
246,259,-126
246,261,-201
246,263,-119
247,261,-179
247,276,-139
248,257,-114
248,259,-146
248,260,-290
248,261,-695
248,263,-339
248,265,-312
248,266,-101
248,274,-138
248,282,-210
249,257,-110
249,259,-158
249,261,-247
249,263,-294
249,265,-221
249,282,-170
25,220,-100
25,231,-122
25,243,-234
25,246,-213
25,247,-189
25,257,-139
25,59,-105
25,69,-120
25,82,-110
25,83,-116
251,260,-155
251,261,-256
251,274,-127
251,282,-418
252,260,-114
252,261,-189
252,282,-122
253,260,-154
253,261,-261
253,274,-110
253,282,-100
254,260,-121
254,261,-240
255,261,-112
256,261,-139
257,259,-152
257,261,-270
257,263,-120
258,259,-206
258,261,-173
259,264,-108
260,264,-189
260,265,-105
260,266,-124
260,269,-184
260,271,-280
260,272,-110
260,273,-144
260,279,-140
261,262,-335
261,263,-294
261,264,-658
261,265,-377
261,266,-748
261,268,-341
261,269,-521
261,271,-1115
261,272,-390
261,273,-536
261,275,-101
261,279,-216
261,280,-122
261,284,-110
261,285,-122
261,287,-206
261,288,-151
261,367,-148
263,264,-409
263,265,-154
263,269,-213
264,265,-239
265,266,-229
265,269,-217
265,271,-283
265,272,-134
265,273,-102
266,271,-118
267,268,-240
267,271,-119
267,273,-201
27,69,-347
27,70,-113
27,71,-745
272,274,-188
272,282,-203
273,274,-338
273,282,-122
274,282,-102
276,352,-326
276,353,-184
279,282,-154
28,243,-113
280,282,-121
282,283,-108
282,284,-141
284,286,-143
285,286,-139
285,290,-400
287,289,-131
287,290,-132
287,352,-117
288,289,-254
288,290,-248
29,243,-164
29,246,-142
29,247,-136
29,69,-131
29,83,-107
3,11,-386
3,12,-191
3,16,-252
3,17,-136
3,21,-137
3,22,-261
3,24,-245
3,25,-386
3,26,-149
3,261,-388
3,28,-192
3,29,-241
3,30,-130
3,31,-188
3,34,-200
3,4,-322
3,5,-137
31,155,-115
31,69,-111
32,155,-186
32,158,-105
34,151,-223
34,152,-212
34,154,-174
34,155,-174
34,156,-127
34,158,-381
34,171,-327
34,173,-219
34,174,-101
34,175,-110
34,243,-122
34,248,-104
34,251,-137
34,253,-123
34,271,-103
34,279,-105
34,41,-131
34,59,-203
34,60,-194
34,61,-152
34,63,-150
34,65,-111
34,66,-115
34,69,-121
34,90,-183
35,41,-108
367,393,-246
37,171,-311
37,175,-184
37,243,-106
37,251,-102
37,271,-121
37,41,-128
37,63,-106
37,69,-138
37,70,-107
37,72,-103
37,79,-103
38,151,-109
38,154,-154
38,155,-132
38,59,-495
38,60,-152
38,61,-158
38,63,-231
38,90,-134
39,50,-111
39,69,-112
39,71,-102
39,90,-104
4,11,-208
4,12,-115
4,16,-102
4,22,-152
4,24,-137
4,25,-430
4,26,-141
4,261,-239
4,29,-139
4,31,-108
4,34,-123
4,5,-242
40,41,-104
40,59,-151
40,60,-131
40,61,-104
40,63,-211
40,69,-137
40,70,-118
40,71,-121
41,117,-102
41,151,-191
41,152,-126
41,154,-177
41,155,-139
41,231,-136
41,243,-195
41,246,-198
41,247,-170
41,42,-355
41,50,-116
41,59,-175
41,60,-147
41,61,-119
41,62,-102
41,63,-184
41,69,-203
41,70,-178
41,71,-190
41,73,-115
41,90,-128
42,151,-156
42,154,-128
42,243,-106
42,59,-173
42,60,-137
42,61,-100
42,62,-199
42,63,-237
424,426,-163
425,426,-281
43,261,-276
43,44,-334
43,45,-150
43,47,-212
43,49,-105
43,53,-243
43,54,-132
43,87,-103
43,88,-172
430,435,-199
430,436,-174
435,441,-165
441,698,-170
449,452,-121
45,50,-130
45,59,-116
45,90,-118
451,456,-126
46,90,-122
47,50,-112
47,57,-131
47,58,-125
47,59,-145
47,60,-161
47,61,-135
47,90,-256
48,53,-188
48,90,-217
49,90,-240
5,11,-128
5,210,-130
5,22,-132
5,24,-109
5,25,-368
5,26,-118
5,261,-121
5,29,-104
5,34,-105
5,69,-142
50,117,-100
50,51,-175
50,57,-103
50,58,-110
50,59,-192
50,60,-151
50,61,-150
50,63,-126
50,90,-180
52,57,-227
52,60,-105
52,61,-103
52,90,-164
53,90,-371
54,57,-103
54,90,-305
55,90,-113
56,90,-281
57,58,-236
57,59,-115
57,60,-217
57,61,-164
57,88,-114
57,90,-188
58,261,-138
58,88,-176
58,90,-117
59,261,-146
59,60,-105
59,88,-197
6,69,-384
6,70,-602
6,71,-145
6,73,-295
60,261,-155
60,88,-191
61,261,-247
61,88,-262
61,90,-126
63,66,-122
63,67,-113
63,88,-108
64,67,-108
65,261,-175
65,68,-104
65,88,-189
65,89,-144
66,67,-187
66,68,-107
67,116,-117
67,121,-125
67,68,-425
68,116,-153
68,117,-102
68,121,-187
68,122,-106
68,127,-135
68,129,-128
68,168,-119
69,70,-130
70,207,-113
70,71,-151
70,77,-168
71,257,-104
71,73,-133
72,206,-327
72,216,-330
73,206,-212
79,203,-371
8,151,-116
8,154,-111
8,155,-281
8,158,-127
81,83,-892
81,84,-187
82,261,-251
83,261,-362
84,218,-174
84,220,-229
84,261,-143
84,86,-100
86,218,-196
86,220,-319
86,222,-214
87,261,-112
87,291,-126
87,88,-1274
87,90,-268
87,91,-182
87,92,-188
88,268,-355
88,90,-707
88,91,-464
88,92,-146
89,118,-131
89,121,-169
89,122,-116
89,123,-182
89,124,-213
89,128,-202
89,131,-101
89,133,-164
89,135,-170
89,139,-309
89,140,-220
89,141,-489
89,159,-133
89,90,-936
9,151,-115
9,158,-103
9,171,-110
90,117,-113
90,261,-444
90,91,-188
90,92,-102
90,93,-136
90,94,-140
90,95,-361
90,96,-125
90,99,-139
91,261,-139
91,268,-102
91,291,-203
91,295,-121
91,92,-447
91,94,-456
91,95,-263
91,97,-104
92,106,-175
92,110,-111
92,268,-138
92,291,-545
92,292,-179
92,294,-180
92,295,-188
92,296,-113
92,94,-113
92,99,-109
